,priceCashFlowRatio,priceEarningsRatio,priceEarningsToGrowthRatio,priceBookValueRatio,currentRatio,quickRatio,payoutRatio,Class
258,1.9275641025641,2.6216,2.624868047097,0.7364,1.32,1.1736111111111,0.0,0
260,4.0210474171023,7.9451,7.831516291164402,2.9853,1.14,0.7829052057285699,0.28600000000000003,1
261,6.8927645619284,10.9382,10.642851028571,1.7508,0.5329999999999999,0.39009423624808,0.633,1
262,12.882201495327001,28.7934,28.552989331952,0.0,1.044,0.55515249227462,0.529,1
268,12.664365528326002,15.0935,14.923838099381001,3.804,1.4340000000000002,0.62105636299185,0.42,1
269,3.404515712779,4.575,4.2958640156138985,1.2442,1.476,0.35103301795713,0.294,0
271,9.6185633894424,12.8485,12.795202234681001,2.1741,1.638,0.98298611558741,0.444,1
273,9.316177176463599,8.4235,8.2230541143028,0.8287,0.08531765041272299,0.017395129832165002,0.14300000000000002,1
279,3.3888116371543,8.2949,7.7645658787656995,0.7683,1.1093911457806,0.7983385675210201,0.335,1
280,5.7681861870967985,12.0211,11.880093057945,1.4757,0.55324348341232,0.3954383886255901,0.274,1
283,18.408627326132,19.2922,18.598952019911998,2.1716,0.478,0.22583784441336,0.612,1
285,13.327799449540999,16.1824,15.991335760106,2.2168,1.132,0.65107753124203,0.431,1
286,1.8898515571844,6.0186,6.0255758349051,0.4836,0.742,0.70105283546675,0.0,0
287,10.624081384897,15.4091,15.727277418093,1.5789,2.675,0.8790166285285601,0.0,1
288,2.583912037037,0.0,47.51407396171606,0.9762,0.221,0.1517448135268,0.0,0
289,1.4771466976766,2.5659,2.3870725990105,1.0549,0.467,0.44069886245416,0.0,0
292,4.3727031495037005,15.109000000000002,15.290738767329,2.4592,1.018,0.94469729565718,0.0,0
295,10.824779940778,0.0,47.51407396171606,0.6714,1.205,0.28647370662437,-0.15,1
297,12.539278687742,0.0,47.51407396171606,3.9291,1.971,0.9194302028075,0.0,1
298,14.97403568631,18.68,17.674696748982,3.9992,0.83,0.29851896241759995,0.425,1
299,4.9300744443714,5.5836,5.5455212966046,1.75,3.957,2.0613116784103,0.139,1
307,3.1259203094852994,6.5433,6.1033003767091,0.7028,1.8910303449771,0.6874296411804399,0.123,1
309,2.4858875983368,0.0,47.51407396171606,1.0764,0.843,0.60137976671375,-0.173,1
311,16.505152592246002,22.3103,21.667227097947002,5.4537,1.074,0.66774821544452,0.557,1
322,51.101871741302006,0.0,47.51407396171606,1.0441,1.845,1.0908640077363,0.0,1
326,10.254822119692,9.676,9.3309228610374,1.6423,1.504,0.55929580189592,0.262,1
327,11.023818273138001,13.927,13.660283902098,1.8321,1.473,0.83391540551028,0.535,1
329,16.674537632535998,21.5652,21.23224458543,0.0,1.135,0.6363364262196899,0.601,1
331,8.4526817318357,7.4025,19.322624276006998,1.6604,1.263,1.0515467845169,0.574,1
332,12.314884659487,12.3892,12.231400204881,2.4319,0.364,0.20537493594488,0.316,1
333,6.9219607958051,23.0333,22.945804601227003,1.857,1.419,1.2398239823981998,0.056,1
334,5.2495356738392,32.4286,30.69761589404,1.1102,1.034,0.81398601398601,0.0,1
339,4.1420744438638,9.8907,9.5573330185967,1.5974,1.408,0.11323397524516,0.225,1
341,1.7817886076398,2.3953,2.3040652652646,0.0,1.214,0.8041429138888,0.0,1
342,10.144801004124,11.6096,11.316940334425,4.2324,2.904,2.3435270456095,0.173,1
343,5.449520505539,10.8083,10.78304125394,2.2726,1.544,1.0579025110783,0.068,1
344,7.669667035194799,10.0078,9.9000341680476,3.9561,1.616,1.0050590219224,0.231,1
345,3.8339302184874,13.5845,13.538210563798001,1.7996,1.836,0.96648044692737,0.458,1
352,5.7304733920888,11.8949,11.280827131573998,1.8955,1.986,0.4828349944629,0.428,0
